Tension_X(V),Intensite
0.865,926.0
0.870,918.0
0.875,937.0
0.880,924.0
0.885,925.0
0.890,935.0
0.895,932.0
0.900,935.0
0.905,934.0
0.910,919.0
0.915,919.0
0.920,933.0
0.925,916.0
0.930,935.0
0.935,924.0
0.940,915.0
0.945,927.0
0.950,931.0
0.955,914.0
0.960,934.0
0.965,914.0
0.970,926.0
0.975,927.0
0.980,932.0
0.985,915.0
0.990,927.0
0.995,929.0
