row_index,column_index,acquisition_index,scan_direction,x_voltage,y_voltage,intensity
86,0,0,forward,-1.000,0.720,574.0
86,1,1,forward,-0.980,0.720,571.0
86,2,2,forward,-0.960,0.720,569.0
86,3,3,forward,-0.940,0.720,568.0
86,4,4,forward,-0.920,0.720,565.0
86,5,5,forward,-0.900,0.720,563.0
86,6,6,forward,-0.880,0.720,561.0
86,7,7,forward,-0.860,0.720,559.0
86,8,8,forward,-0.840,0.720,560.0
86,9,9,forward,-0.820,0.720,557.0
86,10,10,forward,-0.800,0.720,557.0
86,11,11,forward,-0.780,0.720,557.0
86,12,12,forward,-0.760,0.720,556.0
86,13,13,forward,-0.740,0.720,555.0
86,14,14,forward,-0.720,0.720,554.0
86,15,15,forward,-0.700,0.720,556.0
86,16,16,forward,-0.680,0.720,556.0
86,17,17,forward,-0.660,0.720,556.0
86,18,18,forward,-0.640,0.720,558.0
86,19,19,forward,-0.620,0.720,558.0
86,20,20,forward,-0.600,0.720,559.0
86,21,21,forward,-0.580,0.720,560.0
86,22,22,forward,-0.560,0.720,560.0
86,23,23,forward,-0.540,0.720,562.0
86,24,24,forward,-0.520,0.720,563.0
86,25,25,forward,-0.500,0.720,566.0
86,26,26,forward,-0.480,0.720,567.0
86,27,27,forward,-0.460,0.720,568.0
86,28,28,forward,-0.440,0.720,569.0
86,29,29,forward,-0.420,0.720,572.0
86,30,30,forward,-0.400,0.720,574.0
86,31,31,forward,-0.380,0.720,574.0
86,32,32,forward,-0.360,0.720,576.0
86,33,33,forward,-0.340,0.720,578.0
86,34,34,forward,-0.320,0.720,577.0
86,35,35,forward,-0.300,0.720,577.0
86,36,36,forward,-0.280,0.720,578.0
86,37,37,forward,-0.260,0.720,579.0
86,38,38,forward,-0.240,0.720,580.0
86,39,39,forward,-0.220,0.720,577.0
86,40,40,forward,-0.200,0.720,579.0
86,41,41,forward,-0.180,0.720,579.0
86,42,42,forward,-0.160,0.720,579.0
86,43,43,forward,-0.140,0.720,578.0
86,44,44,forward,-0.120,0.720,578.0
86,45,45,forward,-0.100,0.720,580.0
86,46,46,forward,-0.080,0.720,576.0
86,47,47,forward,-0.060,0.720,577.0
86,48,48,forward,-0.040,0.720,577.0
86,49,49,forward,-0.020,0.720,577.0
86,50,50,forward,0.000,0.720,575.0
86,51,51,forward,0.020,0.720,574.0
86,52,52,forward,0.040,0.720,575.0
86,53,53,forward,0.060,0.720,577.0
86,54,54,forward,0.080,0.720,578.0
86,55,55,forward,0.100,0.720,583.0
86,56,56,forward,0.120,0.720,590.0
86,57,57,forward,0.140,0.720,601.0
86,58,58,forward,0.160,0.720,611.0
86,59,59,forward,0.180,0.720,621.0
86,60,60,forward,0.200,0.720,629.0
86,61,61,forward,0.220,0.720,632.0
86,62,62,forward,0.240,0.720,630.0
86,63,63,forward,0.260,0.720,627.0
86,64,64,forward,0.280,0.720,625.0
86,65,65,forward,0.300,0.720,620.0
86,66,66,forward,0.320,0.720,618.0
86,67,67,forward,0.340,0.720,615.0
86,68,68,forward,0.360,0.720,613.0
86,69,69,forward,0.380,0.720,609.0
86,70,70,forward,0.400,0.720,606.0
86,71,71,forward,0.420,0.720,603.0
86,72,72,forward,0.440,0.720,601.0
86,73,73,forward,0.460,0.720,597.0
86,74,74,forward,0.480,0.720,594.0
86,75,75,forward,0.500,0.720,592.0
86,76,76,forward,0.520,0.720,588.0
86,77,77,forward,0.540,0.720,585.0
86,78,78,forward,0.560,0.720,581.0
86,79,79,forward,0.580,0.720,580.0
86,80,80,forward,0.600,0.720,577.0
86,81,81,forward,0.620,0.720,573.0
86,82,82,forward,0.640,0.720,568.0
86,83,83,forward,0.660,0.720,567.0
86,84,84,forward,0.680,0.720,563.0
86,85,85,forward,0.700,0.720,560.0
86,86,86,forward,0.720,0.720,558.0
86,87,87,forward,0.740,0.720,554.0
86,88,88,forward,0.760,0.720,551.0
86,89,89,forward,0.780,0.720,547.0
86,90,90,forward,0.800,0.720,545.0
86,91,91,forward,0.820,0.720,543.0
86,92,92,forward,0.840,0.720,539.0
86,93,93,forward,0.860,0.720,538.0
86,94,94,forward,0.880,0.720,533.0
86,95,95,forward,0.900,0.720,532.0
86,96,96,forward,0.920,0.720,529.0
86,97,97,forward,0.940,0.720,527.0
86,98,98,forward,0.960,0.720,521.0
86,99,99,forward,0.980,0.720,521.0
86,100,100,forward,1.000,0.720,518.0
