Tension_X(V),Intensite
0.865,448.0
0.870,448.0
0.875,449.0
0.880,447.0
0.885,446.0
0.890,446.0
0.895,447.0
0.900,445.0
0.905,447.0
0.910,446.0
0.915,446.0
0.920,444.0
0.925,444.0
0.930,444.0
0.935,444.0
0.940,442.0
0.945,442.0
0.950,443.0
0.955,442.0
0.960,440.0
0.965,442.0
0.970,442.0
0.975,442.0
0.980,442.0
0.985,440.0
0.990,440.0
0.995,440.0
1.000,441.0
