Tension_X(V),Intensite
0.865,763.0
0.870,757.0
0.875,757.0
0.880,759.0
0.885,758.0
0.890,747.0
0.895,767.0
0.900,747.0
0.905,750.0
0.910,765.0
0.915,745.0
0.920,766.0
0.925,744.0
0.930,765.0
0.935,748.0
0.940,733.0
0.945,760.0
0.950,766.0
0.955,734.0
0.960,756.0
0.965,762.0
0.970,732.0
0.975,766.0
0.980,761.0
0.985,733.0
0.990,768.0
0.995,748.0
