Tension_Y(V),Intensite
0.865,690.0
0.870,673.0
0.875,689.0
0.880,673.0
0.885,685.0
0.890,684.0
0.895,673.0
0.900,688.0
0.905,675.0
0.910,684.0
0.915,676.0
0.920,687.0
0.925,670.0
0.930,688.0
0.935,671.0
0.940,688.0
0.945,671.0
0.950,688.0
0.955,670.0
0.960,683.0
0.965,682.0
0.970,676.0
0.975,684.0
0.980,674.0
0.985,673.0
0.990,676.0
0.995,684.0
